Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,E_ads
0,0,0,3,1,2,1,1,0,0,0,2,1,0,0,-5.09E-01
1,0,0,3,0,0,2,1,1,0,0,0,1,0,2,-4.83E-01
0,0,2,2,0,0,2,0,1,1,2,0,0,0,1,-5.15E-01
0,0,2,2,0,1,2,0,0,1,0,0,2,0,1,-4.54E-01
0,1,1,2,0,2,1,0,0,1,1,0,1,1,0,-4.82E-01
1,0,1,2,0,2,2,0,0,0,0,1,0,0,2,-4.45E-01
0,0,1,2,1,2,2,0,0,0,0,1,1,1,0,-4.76E-01
0,2,0,2,0,2,1,0,0,1,0,0,1,0,2,-4.44E-01
0,1,2,1,0,0,0,1,2,1,2,1,0,0,0,-5.28E-01
1,0,2,1,0,2,1,0,1,0,0,0,0,0,3,-4.21E-01
0,0,2,1,1,1,2,0,1,0,0,0,0,1,2,-4.36E-01
0,0,2,1,1,1,2,0,0,1,2,0,0,0,1,-5.00E-01
0,2,1,1,0,1,0,0,1,2,0,1,1,0,1,-4.64E-01
0,2,1,1,0,1,0,0,1,2,0,0,1,1,1,-4.44E-01
0,0,0,0,4,2,1,1,0,0,0,1,1,1,0,-5.09E-01
0,0,0,0,4,1,2,0,1,0,1,0,1,1,0,-5.10E-01
0,0,0,0,4,1,1,2,0,0,1,1,0,1,0,-5.45E-01
0,0,0,0,4,1,1,0,2,0,1,1,1,0,0,-5.55E-01
0,0,0,0,4,2,1,1,0,0,0,1,0,2,0,-4.99E-01
0,0,0,0,4,2,1,0,1,0,0,1,2,0,0,-5.18E-01
1,0,0,0,3,1,1,1,1,0,0,0,1,2,0,-4.81E-01
1,0,0,0,3,0,2,2,0,0,0,1,0,2,0,-4.91E-01
0,1,0,0,3,0,0,1,3,0,1,1,1,0,0,-5.41E-01
0,1,0,0,3,0,0,2,2,0,1,1,1,0,0,-5.42E-01
0,0,1,0,3,2,1,0,1,0,1,0,1,1,0,-5.06E-01
0,0,0,1,3,0,1,2,1,0,1,1,1,0,0,-5.49E-01
2,0,0,0,2,0,2,0,2,0,0,0,2,1,0,-4.65E-01
1,1,0,0,2,1,1,1,1,0,0,0,2,1,0,-4.78E-01
0,1,1,0,2,1,0,0,3,0,1,1,1,0,0,-5.14E-01
0,0,2,0,2,0,2,0,2,0,2,0,0,1,0,-5.16E-01
0,0,2,0,2,0,1,0,3,0,2,1,0,0,0,-5.49E-01
0,0,0,2,2,2,0,2,0,0,0,3,0,0,0,-5.36E-01
2,1,0,0,1,0,1,2,0,1,1,0,0,2,0,-4.77E-01
2,1,0,0,1,0,1,2,0,1,0,1,0,2,0,-4.66E-01
2,0,1,0,1,0,1,1,2,0,1,0,1,0,1,-4.61E-01
2,0,1,0,1,0,1,1,2,0,1,0,0,1,1,-4.55E-01
1,1,0,1,1,0,0,1,1,2,1,1,1,0,0,-5.39E-01
1,0,2,0,1,2,1,0,1,0,0,1,0,1,1,-4.39E-01
0,1,1,0,2,4,0,0,0,0,0,1,1,1,0,-4.67E-01
0,2,0,1,1,4,0,0,0,0,0,0,2,1,0,-4.55E-01
0,2,2,0,0,4,0,0,0,0,0,0,0,2,1,-3.94E-01
0,0,2,2,0,4,0,0,0,0,0,1,0,0,2,-4.75E-01
0,0,2,0,2,4,0,0,0,0,0,2,0,1,0,-4.93E-01
0,0,1,1,2,4,0,0,0,0,0,2,1,0,0,-5.27E-01
0,1,0,0,3,3,0,0,1,0,0,1,1,1,0,-4.96E-01
0,0,1,0,3,3,1,0,0,0,0,1,1,1,0,-4.90E-01
0,1,0,0,3,3,0,0,1,0,0,1,2,0,0,-5.06E-01
0,1,0,0,3,3,0,0,1,0,0,0,2,1,0,-4.80E-01
1,0,1,0,2,3,0,0,1,0,0,2,0,1,0,-4.89E-01
1,0,0,1,2,3,1,0,0,0,0,1,2,0,0,-4.98E-01
1,0,0,1,2,2,1,1,0,0,0,2,0,1,0,-4.98E-01
1,0,0,1,2,2,0,2,0,0,0,2,1,0,0,-5.32E-01
1,0,0,1,2,2,0,2,0,0,0,1,0,2,0,-5.02E-01
1,0,1,1,1,2,0,1,1,0,0,2,0,1,0,-4.97E-01
1,0,1,1,1,2,0,1,1,0,0,1,0,0,2,-4.87E-01
1,1,1,0,1,2,1,0,1,0,1,0,1,1,0,-4.64E-01
1,1,0,0,2,1,1,1,1,0,0,0,1,2,0,-4.68E-01
1,1,0,0,2,1,1,0,2,0,0,0,2,1,0,-4.77E-01
2,0,0,1,1,1,0,2,1,0,0,2,1,0,0,-5.19E-01
2,0,0,1,1,1,0,2,0,1,0,2,1,0,0,-5.22E-01
1,0,0,2,1,1,2,1,0,0,1,0,1,0,1,-5.00E-01
1,0,0,2,1,1,2,1,0,0,0,1,1,0,1,-4.86E-01
2,0,0,0,2,0,4,0,0,0,0,0,2,1,0,-4.32E-01
1,0,1,0,2,0,4,0,0,0,1,0,1,1,0,-4.54E-01
0,0,2,0,2,0,4,0,0,0,2,0,0,1,0,-4.80E-01
0,0,0,2,2,0,4,0,0,0,1,0,2,0,0,-4.89E-01
1,0,2,1,0,0,4,0,0,0,0,0,0,1,2,-3.96E-01
1,0,1,2,0,0,4,0,0,0,0,0,1,0,2,-4.27E-01
1,0,0,0,3,1,3,0,0,0,0,0,2,1,0,-4.57E-01
0,0,1,2,1,1,3,0,0,0,0,0,1,0,2,-4.56E-01
1,0,1,2,0,1,3,0,0,0,0,0,1,0,2,-4.29E-01
1,0,3,0,0,1,3,0,0,0,0,0,0,2,1,-3.82E-01
2,0,1,0,1,0,3,1,0,0,1,0,0,1,1,-4.39E-01
2,0,1,0,1,0,3,1,0,0,0,0,1,1,1,-4.20E-01
0,0,1,0,3,2,2,0,0,0,0,0,0,2,1,-4.44E-01
1,1,0,0,2,1,2,1,0,0,0,0,0,2,1,-4.31E-01
1,0,0,1,2,0,2,2,0,0,0,0,0,2,1,-4.75E-01
1,0,0,1,2,0,2,1,1,0,2,0,0,0,1,-5.33E-01
1,1,0,0,2,0,2,0,2,0,1,0,1,1,0,-4.90E-01
1,0,1,0,2,0,2,0,2,0,0,1,1,1,0,-4.79E-01
1,0,0,1,2,2,1,1,0,0,1,1,1,0,0,-5.28E-01
1,0,0,1,2,2,1,1,0,0,1,1,0,1,0,-5.14E-01
0,2,1,0,1,2,1,0,1,0,0,0,1,2,0,-4.18E-01
0,2,1,0,1,2,1,0,1,0,0,0,1,0,2,-4.24E-01
0,0,3,0,1,2,1,1,0,0,0,1,0,2,0,-4.35E-01
0,0,2,1,1,2,1,0,1,0,2,1,0,0,0,-5.22E-01
2,0,0,0,2,0,0,4,0,0,0,2,0,1,0,-5.19E-01
2,1,0,0,1,0,0,4,0,0,0,1,0,2,0,-4.66E-01
0,2,0,2,0,0,0,4,0,0,1,0,0,0,2,-4.92E-01
2,1,0,1,0,0,0,4,0,0,0,1,0,0,2,-4.74E-01
2,0,0,2,0,0,0,4,0,0,0,2,0,0,1,-5.17E-01
0,1,0,2,1,0,0,4,0,0,2,1,0,0,0,-5.63E-01
0,0,0,2,2,0,1,3,0,0,1,1,1,0,0,-5.44E-01
0,1,1,0,2,0,1,3,0,0,1,0,0,2,0,-4.76E-01
2,0,0,1,1,0,1,3,0,0,1,0,0,2,0,-4.86E-01
2,0,0,1,1,0,1,3,0,0,1,0,0,0,2,-4.89E-01
1,2,0,0,1,0,1,3,0,0,1,0,0,1,1,-4.71E-01
1,1,0,1,1,0,1,3,0,0,1,1,0,1,0,-5.04E-01
1,0,0,0,3,0,2,2,0,0,2,0,0,1,0,-5.30E-01
