Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,E_ads
0,0,0,3,1,2,1,1,0,0,0,2,1,0,0,-4.26E-01
1,0,0,3,0,0,2,1,1,0,0,0,1,0,2,-3.85E-01
0,0,2,2,0,0,2,0,1,1,2,0,0,0,1,-4.37E-01
0,0,2,2,0,1,2,0,0,1,0,0,2,0,1,-3.85E-01
0,1,1,2,0,2,1,0,0,1,1,0,1,1,0,-4.03E-01
1,0,1,2,0,2,2,0,0,0,0,1,0,0,2,-3.68E-01
0,0,1,2,1,2,2,0,0,0,0,1,1,1,0,-4.00E-01
0,2,0,2,0,2,1,0,0,1,0,0,1,0,2,-3.55E-01
0,1,2,1,0,0,0,1,2,1,2,1,0,0,0,-4.68E-01
1,0,2,1,0,2,1,0,1,0,0,0,0,0,3,-3.75E-01
0,0,2,1,1,1,2,0,1,0,0,0,0,1,2,-3.87E-01
0,0,2,1,1,1,2,0,0,1,2,0,0,0,1,-4.41E-01
0,2,1,1,0,1,0,0,1,2,0,1,1,0,1,-3.96E-01
0,2,1,1,0,1,0,0,1,2,0,0,1,1,1,-3.76E-01
0,0,0,0,4,2,1,1,0,0,0,1,1,1,0,-4.57E-01
0,0,0,0,4,1,2,0,1,0,1,0,1,1,0,-4.64E-01
0,0,0,0,4,1,1,2,0,0,1,1,0,1,0,-4.83E-01
0,0,0,0,4,1,1,0,2,0,1,1,1,0,0,-4.93E-01
0,0,0,0,4,2,1,1,0,0,0,1,0,2,0,-4.47E-01
0,0,0,0,4,2,1,0,1,0,0,1,2,0,0,-4.68E-01
1,0,0,0,3,1,1,1,1,0,0,0,1,2,0,-4.24E-01
1,0,0,0,3,0,2,2,0,0,0,1,0,2,0,-4.34E-01
0,1,0,0,3,0,0,1,3,0,1,1,1,0,0,-4.76E-01
0,1,0,0,3,0,0,2,2,0,1,1,1,0,0,-4.77E-01
0,0,1,0,3,2,1,0,1,0,1,0,1,1,0,-4.48E-01
0,0,0,1,3,0,1,2,1,0,1,1,1,0,0,-4.81E-01
2,0,0,0,2,0,2,0,2,0,0,0,2,1,0,-4.15E-01
1,1,0,0,2,1,1,1,1,0,0,0,2,1,0,-4.15E-01
0,1,1,0,2,1,0,0,3,0,1,1,1,0,0,-4.66E-01
0,0,2,0,2,0,2,0,2,0,2,0,0,1,0,-4.69E-01
0,0,2,0,2,0,1,0,3,0,2,1,0,0,0,-5.01E-01
0,0,0,2,2,2,0,2,0,0,0,3,0,0,0,-4.58E-01
2,1,0,0,1,0,1,2,0,1,1,0,0,2,0,-4.02E-01
2,1,0,0,1,0,1,2,0,1,0,1,0,2,0,-3.87E-01
2,0,1,0,1,0,1,1,2,0,1,0,1,0,1,-4.17E-01
2,0,1,0,1,0,1,1,2,0,1,0,0,1,1,-4.11E-01
1,1,0,1,1,0,0,1,1,2,1,1,1,0,0,-4.52E-01
1,0,2,0,1,2,1,0,1,0,0,1,0,1,1,-4.07E-01
0,1,1,0,2,4,0,0,0,0,0,1,1,1,0,-4.19E-01
0,2,0,1,1,4,0,0,0,0,0,0,2,1,0,-3.88E-01
0,2,2,0,0,4,0,0,0,0,0,0,0,2,1,-3.52E-01
0,0,2,2,0,4,0,0,0,0,0,1,0,0,2,-3.94E-01
0,0,2,0,2,4,0,0,0,0,0,2,0,1,0,-4.41E-01
0,0,1,1,2,4,0,0,0,0,0,2,1,0,0,-4.52E-01
0,1,0,0,3,3,0,0,1,0,0,1,1,1,0,-4.38E-01
0,0,1,0,3,3,1,0,0,0,0,1,1,1,0,-4.38E-01
0,1,0,0,3,3,0,0,1,0,0,1,2,0,0,-4.50E-01
0,1,0,0,3,3,0,0,1,0,0,0,2,1,0,-4.27E-01
1,0,1,0,2,3,0,0,1,0,0,2,0,1,0,-4.36E-01
1,0,0,1,2,3,1,0,0,0,0,1,2,0,0,-4.32E-01
1,0,0,1,2,2,1,1,0,0,0,2,0,1,0,-4.23E-01
1,0,0,1,2,2,0,2,0,0,0,2,1,0,0,-4.53E-01
1,0,0,1,2,2,0,2,0,0,0,1,0,2,0,-4.28E-01
1,0,1,1,1,2,0,1,1,0,0,2,0,1,0,-4.31E-01
1,0,1,1,1,2,0,1,1,0,0,1,0,0,2,-4.23E-01
1,1,1,0,1,2,1,0,1,0,1,0,1,1,0,-4.17E-01
1,1,0,0,2,1,1,1,1,0,0,0,1,2,0,-4.04E-01
1,1,0,0,2,1,1,0,2,0,0,0,2,1,0,-4.17E-01
2,0,0,1,1,1,0,2,1,0,0,2,1,0,0,-4.40E-01
2,0,0,1,1,1,0,2,0,1,0,2,1,0,0,-4.41E-01
1,0,0,2,1,1,2,1,0,0,1,0,1,0,1,-4.19E-01
1,0,0,2,1,1,2,1,0,0,0,1,1,0,1,-4.07E-01
2,0,0,0,2,0,4,0,0,0,0,0,2,1,0,-3.95E-01
1,0,1,0,2,0,4,0,0,0,1,0,1,1,0,-4.18E-01
0,0,2,0,2,0,4,0,0,0,2,0,0,1,0,-4.39E-01
0,0,0,2,2,0,4,0,0,0,1,0,2,0,0,-4.31E-01
1,0,2,1,0,0,4,0,0,0,0,0,0,1,2,-3.54E-01
1,0,1,2,0,0,4,0,0,0,0,0,1,0,2,-3.64E-01
1,0,0,0,3,1,3,0,0,0,0,0,2,1,0,-4.16E-01
0,0,1,2,1,1,3,0,0,0,0,0,1,0,2,-3.84E-01
1,0,1,2,0,1,3,0,0,0,0,0,1,0,2,-3.65E-01
1,0,3,0,0,1,3,0,0,0,0,0,0,2,1,-3.53E-01
2,0,1,0,1,0,3,1,0,0,1,0,0,1,1,-3.99E-01
2,0,1,0,1,0,3,1,0,0,0,0,1,1,1,-3.83E-01
0,0,1,0,3,2,2,0,0,0,0,0,0,2,1,-3.99E-01
1,1,0,0,2,1,2,1,0,0,0,0,0,2,1,-3.79E-01
1,0,0,1,2,0,2,2,0,0,0,0,0,2,1,-4.04E-01
1,0,0,1,2,0,2,1,1,0,2,0,0,0,1,-4.58E-01
1,1,0,0,2,0,2,0,2,0,1,0,1,1,0,-4.31E-01
1,0,1,0,2,0,2,0,2,0,0,1,1,1,0,-4.33E-01
1,0,0,1,2,2,1,1,0,0,1,1,1,0,0,-4.53E-01
1,0,0,1,2,2,1,1,0,0,1,1,0,1,0,-4.39E-01
0,2,1,0,1,2,1,0,1,0,0,0,1,2,0,-3.77E-01
0,2,1,0,1,2,1,0,1,0,0,0,1,0,2,-3.83E-01
0,0,3,0,1,2,1,1,0,0,0,1,0,2,0,-4.04E-01
0,0,2,1,1,2,1,0,1,0,2,1,0,0,0,-4.65E-01
2,0,0,0,2,0,0,4,0,0,0,2,0,1,0,-4.51E-01
2,1,0,0,1,0,0,4,0,0,0,1,0,2,0,-3.94E-01
0,2,0,2,0,0,0,4,0,0,1,0,0,0,2,-3.90E-01
2,1,0,1,0,0,0,4,0,0,0,1,0,0,2,-3.78E-01
2,0,0,2,0,0,0,4,0,0,0,2,0,0,1,-4.18E-01
0,1,0,2,1,0,0,4,0,0,2,1,0,0,0,-4.78E-01
0,0,0,2,2,0,1,3,0,0,1,1,1,0,0,-4.66E-01
0,1,1,0,2,0,1,3,0,0,1,0,0,2,0,-4.24E-01
2,0,0,1,1,0,1,3,0,0,1,0,0,2,0,-4.08E-01
2,0,0,1,1,0,1,3,0,0,1,0,0,0,2,-4.11E-01
1,2,0,0,1,0,1,3,0,0,1,0,0,1,1,-3.94E-01
