Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,bond
1,0,2,1,0,2,1,0,1,0,0,0,0,0,3,140.546
0,0,2,1,1,1,2,0,1,0,0,0,0,1,2,141.573
0,0,2,1,1,1,2,0,0,1,2,0,0,0,1,142.174
0,2,1,1,0,1,0,0,1,2,0,1,1,0,1,142.057
0,2,1,1,0,1,0,0,1,2,0,0,1,1,1,142.051
0,0,0,0,4,2,1,1,0,0,0,1,1,1,0,143.104
0,0,0,0,4,1,2,0,1,0,1,0,1,1,0,142.875
0,0,0,0,4,1,1,2,0,0,1,1,0,1,0,138.795
0,0,0,0,4,1,1,0,2,0,1,1,1,0,0,141.153
0,0,0,0,4,2,1,1,0,0,0,1,0,2,0,143.257
0,0,0,0,4,2,1,0,1,0,0,1,2,0,0,142.598
1,0,0,0,3,1,1,1,1,0,0,0,1,2,0,143.377
1,0,0,0,3,0,2,2,0,0,0,1,0,2,0,142.657
0,1,0,0,3,0,0,1,3,0,1,1,1,0,0,142.878
0,1,0,0,3,0,0,2,2,0,1,1,1,0,0,142.714
0,0,1,0,3,2,1,0,1,0,1,0,1,1,0,143.175
0,0,0,1,3,0,1,2,1,0,1,1,1,0,0,138.893
2,0,0,0,2,0,2,0,2,0,0,0,2,1,0,142.202
1,1,0,0,2,1,1,1,1,0,0,0,2,1,0,142.361
0,1,1,0,2,1,0,0,3,0,1,1,1,0,0,142.366
0,0,2,0,2,0,2,0,2,0,2,0,0,1,0,141.835
0,0,2,0,2,0,1,0,3,0,2,1,0,0,0,141.834
0,0,0,2,2,2,0,2,0,0,0,3,0,0,0,138.716
2,1,0,0,1,0,1,2,0,1,1,0,0,2,0,141.751
2,1,0,0,1,0,1,2,0,1,0,1,0,2,0,141.037
2,0,1,0,1,0,1,1,2,0,1,0,1,0,1,141.388
2,0,1,0,1,0,1,1,2,0,1,0,0,1,1,141.373
1,1,0,1,1,0,0,1,1,2,1,1,1,0,0,141.194
1,0,2,0,1,2,1,0,1,0,0,1,0,1,1,141.791
0,1,1,0,2,4,0,0,0,0,0,1,1,1,0,141.872
0,2,0,1,1,4,0,0,0,0,0,0,2,1,0,141.378
0,2,2,0,0,4,0,0,0,0,0,0,0,2,1,142.931
0,0,2,2,0,4,0,0,0,0,0,1,0,0,2,141.995
0,0,2,0,2,4,0,0,0,0,0,2,0,1,0,142.759
0,0,1,1,2,4,0,0,0,0,0,2,1,0,0,142.213
0,1,0,0,3,3,0,0,1,0,0,1,1,1,0,143.491
0,0,1,0,3,3,1,0,0,0,0,1,1,1,0,142.697
0,1,0,0,3,3,0,0,1,0,0,1,2,0,0,143.553
0,1,0,0,3,3,0,0,1,0,0,0,2,1,0,143.348
1,0,1,0,2,3,0,0,1,0,0,2,0,1,0,142.581
1,0,0,1,2,3,1,0,0,0,0,1,2,0,0,143.364
1,0,0,1,2,2,1,1,0,0,0,2,0,1,0,142.519
1,0,0,1,2,2,0,2,0,0,0,2,1,0,0,142.785
1,0,0,1,2,2,0,2,0,0,0,1,0,2,0,143.259
1,0,1,1,1,2,0,1,1,0,0,2,0,1,0,141.953
1,0,1,1,1,2,0,1,1,0,0,1,0,0,2,141.572
1,1,1,0,1,2,1,0,1,0,1,0,1,1,0,142.193
1,1,0,0,2,1,1,1,1,0,0,0,1,2,0,142.443
1,1,0,0,2,1,1,0,2,0,0,0,2,1,0,142.278
2,0,0,1,1,1,0,2,1,0,0,2,1,0,0,141.235
2,0,0,1,1,1,0,2,0,1,0,2,1,0,0,141.411
1,0,0,2,1,1,2,1,0,0,1,0,1,0,1,142.523
1,0,0,2,1,1,2,1,0,0,0,1,1,0,1,142.611
2,0,0,0,2,0,4,0,0,0,0,0,2,1,0,142.888
1,0,1,0,2,0,4,0,0,0,1,0,1,1,0,143.014
0,0,2,0,2,0,4,0,0,0,2,0,0,1,0,142.994
0,0,0,2,2,0,4,0,0,0,1,0,2,0,0,141.342
1,0,2,1,0,0,4,0,0,0,0,0,0,1,2,141.919
1,0,1,2,0,0,4,0,0,0,0,0,1,0,2,142.121
1,0,0,0,3,1,3,0,0,0,0,0,2,1,0,143.937
0,0,1,2,1,1,3,0,0,0,0,0,1,0,2,142.282
1,0,1,2,0,1,3,0,0,0,0,0,1,0,2,141.709
1,0,3,0,0,1,3,0,0,0,0,0,0,2,1,143.055
2,0,1,0,1,0,3,1,0,0,1,0,0,1,1,141.927
2,0,1,0,1,0,3,1,0,0,0,0,1,1,1,141.756
0,0,1,0,3,2,2,0,0,0,0,0,0,2,1,142.98
1,1,0,0,2,1,2,1,0,0,0,0,0,2,1,143.372
1,0,0,1,2,0,2,2,0,0,0,0,0,2,1,143.774
1,0,0,1,2,0,2,1,1,0,2,0,0,0,1,142.988
1,1,0,0,2,0,2,0,2,0,1,0,1,1,0,142.497
1,0,1,0,2,0,2,0,2,0,0,1,1,1,0,142.487
1,0,0,1,2,2,1,1,0,0,1,1,1,0,0,142.811
1,0,0,1,2,2,1,1,0,0,1,1,0,1,0,142.583
0,2,1,0,1,2,1,0,1,0,0,0,1,2,0,142.209
0,2,1,0,1,2,1,0,1,0,0,0,1,0,2,142.043
0,0,3,0,1,2,1,1,0,0,0,1,0,2,0,141.377
0,0,2,1,1,2,1,0,1,0,2,1,0,0,0,141.767
2,0,0,0,2,0,0,4,0,0,0,2,0,1,0,141.9
2,1,0,0,1,0,0,4,0,0,0,1,0,2,0,141.711
0,2,0,2,0,0,0,4,0,0,1,0,0,0,2,140.89
2,1,0,1,0,0,0,4,0,0,0,1,0,0,2,141.556
2,0,0,2,0,0,0,4,0,0,0,2,0,0,1,141.355
0,1,0,2,1,0,0,4,0,0,2,1,0,0,0,142.016
0,0,0,2,2,0,1,3,0,0,1,1,1,0,0,140.598
0,1,1,0,2,0,1,3,0,0,1,0,0,2,0,142.452
2,0,0,1,1,0,1,3,0,0,1,0,0,2,0,141.235
2,0,0,1,1,0,1,3,0,0,1,0,0,0,2,141.264
1,2,0,0,1,0,1,3,0,0,1,0,0,1,1,141.661
1,1,0,1,1,0,1,3,0,0,1,1,0,1,0,140.931
1,0,0,0,3,0,2,2,0,0,2,0,0,1,0,143.217
1,0,1,0,2,1,1,2,0,0,0,1,1,1,0,142.634
0,1,0,1,2,2,0,2,0,0,1,0,1,0,1,142.869
0,2,0,0,2,1,0,2,1,0,0,0,0,2,1,140.985
0,1,0,0,3,0,0,2,2,0,3,0,0,0,0,142.808
3,0,0,0,1,0,0,2,0,2,0,1,0,2,0,141.291
1,0,0,0,3,0,3,1,0,0,0,0,0,3,0,143.945
0,0,0,2,2,1,2,1,0,0,3,0,0,0,0,139.835
2,0,0,1,1,0,2,1,1,0,0,0,1,0,2,141.815
2,0,0,1,1,0,2,1,0,1,0,0,2,1,0,141.8
1,0,1,1,1,0,2,1,1,0,1,0,0,2,0,141.886
1,0,1,1,1,0,2,1,0,1,1,2,0,0,0,142.267
2,0,0,0,2,0,0,0,4,0,0,2,1,0,0,141.748
1,0,1,0,2,0,0,0,4,0,1,1,1,0,0,142.111
0,2,2,0,0,0,0,0,4,0,2,0,0,0,1,142.1
2,1,1,0,0,0,0,0,4,0,0,1,0,0,2,141.418
2,0,2,0,0,0,0,0,4,0,0,2,0,0,1,141.921
2,1,1,0,0,0,0,0,4,0,0,0,1,0,2,142.25
1,0,0,0,3,0,0,1,3,0,1,1,1,0,0,142.81
1,1,0,0,2,0,0,1,3,0,1,0,1,1,0,141.582
2,1,0,0,1,0,0,1,3,0,0,2,0,0,1,141.208
2,1,0,0,1,0,0,1,3,0,0,0,2,0,1,141.799
1,1,2,0,0,0,0,1,3,0,1,0,0,0,2,142.49
1,1,2,0,0,0,0,1,3,0,0,1,0,0,2,142.229
0,0,0,0,4,0,0,2,2,0,2,1,0,0,0,141.971
2,0,1,0,1,0,0,2,2,0,0,2,1,0,0,141.44
1,1,0,0,2,1,0,1,2,0,0,0,1,1,1,141.541
0,0,1,1,2,0,2,0,2,0,3,0,0,0,0,142.22
0,2,1,1,0,1,1,0,2,0,1,0,1,0,1,140.863
2,0,0,1,1,1,0,0,2,1,0,1,1,0,1,141.136
0,0,1,0,3,0,1,2,1,0,3,0,0,0,0,141.691
0,1,1,0,2,1,0,2,1,0,0,1,1,1,0,141.035
0,0,2,0,2,1,0,2,1,0,1,1,0,1,0,142.325
1,0,0,1,2,0,0,2,1,1,0,2,0,1,0,142.518
1,0,0,1,2,0,0,2,1,1,0,3,0,0,0,142.596
2,0,1,0,1,0,0,2,1,1,1,2,0,0,0,141.384
2,1,1,0,0,0,0,0,0,4,0,1,1,1,0,142.08
1,0,1,2,0,0,0,0,0,4,1,1,1,0,0,141.514
0,2,1,1,0,0,0,0,0,4,2,0,0,1,0,141.715
0,2,0,2,0,0,0,0,0,4,2,0,1,0,0,140.649
0,1,2,1,0,0,0,0,0,4,2,1,0,0,0,141.059
0,1,1,2,0,0,0,0,0,4,2,0,1,0,0,141.299
1,2,0,0,1,0,0,0,1,3,1,0,1,1,0,141.404
1,1,1,0,1,0,0,0,1,3,1,0,1,1,0,141.983
1,0,1,1,1,0,0,0,1,3,0,2,1,0,0,141.874
0,2,1,0,1,0,0,0,1,3,2,0,1,0,0,141.456
0,0,2,1,1,0,0,0,1,3,1,2,0,0,0,141.88
3,1,0,0,0,0,0,0,1,3,0,1,1,1,0,141.264
0,2,2,0,0,0,0,0,2,2,3,0,0,0,0,142.222
0,3,1,0,0,0,0,0,2,2,1,0,1,0,1,141.655
0,2,2,0,0,0,0,0,2,2,1,1,0,0,1,142.246
1,1,0,1,1,0,1,0,1,2,1,0,2,0,0,141.148
1,2,0,0,1,0,1,0,1,2,1,0,1,1,0,141.491
0,1,1,1,1,1,0,0,1,2,0,2,1,0,0,141.687
0,1,1,1,1,0,0,1,2,1,2,0,0,0,1,141.341
0,3,0,0,1,0,0,1,2,1,1,0,1,1,0,140.788
1,1,1,0,1,0,1,0,2,1,2,0,1,0,0,141.232
1,1,1,0,1,0,1,0,2,1,1,0,2,0,0,141.336
0,3,0,0,1,1,0,0,2,1,0,0,2,0,1,140.72
2,0,0,1,1,0,1,1,1,1,0,1,2,0,0,140.995
0,2,2,0,0,0,0,0,1,3,3,0,0,0,0,142.589
1,2,1,0,0,0,0,0,2,2,3,0,0,0,0,141.535
1,1,2,0,0,0,0,0,2,2,3,0,0,0,0,142.476
0,1,1,1,1,0,0,1,1,2,3,0,0,0,0,141.862
0,0,2,1,1,0,1,0,0,3,2,1,0,0,0,141.902
1,1,0,2,0,0,1,0,0,3,2,0,1,0,0,141.317
1,0,2,1,0,0,1,0,0,3,2,1,0,0,0,140.895
0,3,0,1,0,1,0,0,0,3,2,0,1,0,0,140.25
0,1,1,1,1,0,0,0,2,2,2,0,1,0,0,141.23
1,0,1,2,0,0,1,0,0,3,1,1,0,1,0,141.847
1,0,1,2,0,0,1,0,0,3,1,0,1,1,0,141.557
1,0,0,3,0,0,1,0,0,3,1,1,1,0,0,142.252
0,0,1,3,0,0,1,0,0,3,1,0,2,0,0,141.699
0,2,1,0,1,1,0,0,0,3,1,0,1,1,0,141.305
3,0,1,0,0,0,0,0,1,3,0,3,0,0,0,140.77
1,0,0,3,0,0,0,1,0,3,0,3,0,0,0,142.187
0,0,2,2,0,1,0,0,0,3,0,3,0,0,0,141.549
2,0,1,0,1,0,0,1,1,2,0,3,0,0,0,140.993
1,1,1,1,0,1,0,0,1,2,1,2,0,0,0,141.01
1,0,3,0,0,1,0,0,1,2,1,2,0,0,0,142.281
2,0,2,0,0,0,1,0,2,1,1,2,0,0,0,141.955
2,0,1,1,0,0,1,0,2,1,1,2,0,0,0,140.654
0,0,2,1,1,1,0,0,2,1,1,2,0,0,0,141.805
1,1,1,0,1,1,0,1,2,0,2,1,0,0,0,141.505
1,0,2,1,0,1,0,0,1,2,0,1,1,0,1,140.462
1,0,2,1,0,1,0,0,1,2,0,1,0,1,1,140.924
1,0,1,1,1,0,1,1,0,2,0,1,0,2,0,141.5
1,0,0,2,1,0,1,1,0,2,0,1,2,0,0,142.588
2,2,0,0,0,0,0,0,1,3,0,0,3,0,0,141.586
