Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,E_ads
0,0,2,2,0,0,2,0,1,1,2,0,0,0,1,-0.8541326
0,0,2,2,0,1,2,0,0,1,0,0,2,0,1,-0.9956426
0,1,1,2,0,2,1,0,0,1,1,0,1,1,0,-0.8657326
1,0,1,2,0,2,2,0,0,0,0,1,0,0,2,-1.0998426
0,0,1,2,1,2,2,0,0,0,0,1,1,1,0,-0.8893426
0,2,0,2,0,2,1,0,0,1,0,0,1,0,2,-1.2663126
0,1,2,1,0,0,0,1,2,1,2,1,0,0,0,-0.5744626
1,0,2,1,0,2,1,0,1,0,0,0,0,0,3,-1.0974226
0,0,2,1,1,1,2,0,1,0,0,0,0,1,2,-0.9623726
0,0,2,1,1,1,2,0,0,1,2,0,0,0,1,-0.9661626
0,2,1,1,0,1,0,0,1,2,0,1,1,0,1,-1.2700326
0,2,1,1,0,1,0,0,1,2,0,0,1,1,1,-1.2842326
0,0,0,0,4,2,1,1,0,0,0,1,1,1,0,-0.5914226
0,0,0,0,4,1,2,0,1,0,1,0,1,1,0,-0.6317926
0,0,0,0,4,1,1,2,0,0,1,1,0,1,0,-0.4932426
0,0,0,0,4,1,1,0,2,0,1,1,1,0,0,-0.5115326
0,0,0,0,4,2,1,1,0,0,0,1,0,2,0,-0.6933926
0,0,0,0,4,2,1,0,1,0,0,1,2,0,0,-0.5455426
1,0,0,0,3,1,1,1,1,0,0,0,1,2,0,-0.8309426
1,0,0,0,3,0,2,2,0,0,0,1,0,2,0,-0.7257426
0,1,0,0,3,0,0,1,3,0,1,1,1,0,0,-0.5760826
0,1,0,0,3,0,0,2,2,0,1,1,1,0,0,-0.4579726
0,0,1,0,3,2,1,0,1,0,1,0,1,1,0,-0.7312226
0,0,0,1,3,0,1,2,1,0,1,1,1,0,0,-0.5608826
2,0,0,0,2,0,2,0,2,0,0,0,2,1,0,-1.3054626
1,1,0,0,2,1,1,1,1,0,0,0,2,1,0,-1.2114726
0,1,1,0,2,1,0,0,3,0,1,1,1,0,0,-0.7194026
0,0,2,0,2,0,2,0,2,0,2,0,0,1,0,-0.8656126
0,0,2,0,2,0,1,0,3,0,2,1,0,0,0,-0.7617926
0,0,0,2,2,2,0,2,0,0,0,3,0,0,0,-0.5035626
2,1,0,0,1,0,1,2,0,1,1,0,0,2,0,-1.4314626
2,1,0,0,1,0,1,2,0,1,0,1,0,2,0,-1.4434026
2,0,1,0,1,0,1,1,2,0,1,0,1,0,1,-1.3343026
2,0,1,0,1,0,1,1,2,0,1,0,0,1,1,-1.3691626
1,1,0,1,1,0,0,1,1,2,1,1,1,0,0,-1.0220726
1,0,2,0,1,2,1,0,1,0,0,1,0,1,1,-1.0755226
0,1,1,0,2,4,0,0,0,0,0,1,1,1,0,-0.9279926
0,2,0,1,1,4,0,0,0,0,0,0,2,1,0,-1.1695826
0,2,2,0,0,4,0,0,0,0,0,0,0,2,1,-1.6207126
0,0,2,2,0,4,0,0,0,0,0,1,0,0,2,-0.8719326
0,0,2,0,2,4,0,0,0,0,0,2,0,1,0,-1.0057026
0,0,1,1,2,4,0,0,0,0,0,2,1,0,0,-0.6036926
0,1,0,0,3,3,0,0,1,0,0,1,1,1,0,-0.7181726
0,0,1,0,3,3,1,0,0,0,0,1,1,1,0,-0.8724026
0,1,0,0,3,3,0,0,1,0,0,1,2,0,0,-0.6268426
0,1,0,0,3,3,0,0,1,0,0,0,2,1,0,-0.7147626
1,0,1,0,2,3,0,0,1,0,0,2,0,1,0,-0.9606226
1,0,0,1,2,3,1,0,0,0,0,1,2,0,0,-0.7503826
1,0,0,1,2,2,1,1,0,0,0,2,0,1,0,-0.9348826
1,0,0,1,2,2,0,2,0,0,0,2,1,0,0,-0.4981926
1,0,0,1,2,2,0,2,0,0,0,1,0,2,0,-0.6548826
1,0,1,1,1,2,0,1,1,0,0,2,0,1,0,-0.9155826
1,0,1,1,1,2,0,1,1,0,0,1,0,0,2,-0.7790726
1,1,1,0,1,2,1,0,1,0,1,0,1,1,0,-1.3919426
1,1,0,0,2,1,1,1,1,0,0,0,1,2,0,-1.2783026
1,1,0,0,2,1,1,0,2,0,0,0,2,1,0,-1.2755226
2,0,0,1,1,1,0,2,1,0,0,2,1,0,0,-0.9874326
2,0,0,1,1,1,0,2,0,1,0,2,1,0,0,-0.9874826
1,0,0,2,1,1,2,1,0,0,1,0,1,0,1,-0.7092626
1,0,0,2,1,1,2,1,0,0,0,1,1,0,1,-0.7445826
2,0,0,0,2,0,4,0,0,0,0,0,2,1,0,-1.5218826
1,0,1,0,2,0,4,0,0,0,1,0,1,1,0,-1.2830226
0,0,2,0,2,0,4,0,0,0,2,0,0,1,0,-1.2779326
0,0,0,2,2,0,4,0,0,0,1,0,2,0,0,-0.7163026
1,0,2,1,0,0,4,0,0,0,0,0,0,1,2,-1.3310526
1,0,1,2,0,0,4,0,0,0,0,0,1,0,2,-1.1584226
1,0,0,0,3,1,3,0,0,0,0,0,2,1,0,-0.9952626
0,0,1,2,1,1,3,0,0,0,0,0,1,0,2,-0.9304126
1,0,1,2,0,1,3,0,0,0,0,0,1,0,2,-1.1612626
1,0,3,0,0,1,3,0,0,0,0,0,0,2,1,-1.5049426
2,0,1,0,1,0,3,1,0,0,1,0,0,1,1,-1.4274226
2,0,1,0,1,0,3,1,0,0,0,0,1,1,1,-1.3740626
0,0,1,0,3,2,2,0,0,0,0,0,0,2,1,-0.9810026
1,1,0,0,2,1,2,1,0,0,0,0,0,2,1,-1.2418326
1,0,0,1,2,0,2,2,0,0,0,0,0,2,1,-0.7003826
1,0,0,1,2,0,2,1,1,0,2,0,0,0,1,-0.6946826
1,1,0,0,2,0,2,0,2,0,1,0,1,1,0,-1.2665326
1,0,1,0,2,0,2,0,2,0,0,1,1,1,0,-1.0232326
1,0,0,1,2,2,1,1,0,0,1,1,1,0,0,-0.6791626
1,0,0,1,2,2,1,1,0,0,1,1,0,1,0,-0.8590326
0,2,1,0,1,2,1,0,1,0,0,0,1,2,0,-1.4274526
0,2,1,0,1,2,1,0,1,0,0,0,1,0,2,-1.3644426
0,0,3,0,1,2,1,1,0,0,0,1,0,2,0,-1.0559426
0,0,2,1,1,2,1,0,1,0,2,1,0,0,0,-0.8985026
2,0,0,0,2,0,0,4,0,0,0,2,0,1,0,-0.8929326
2,1,0,0,1,0,0,4,0,0,0,1,0,2,0,-1.2697126
0,2,0,2,0,0,0,4,0,0,1,0,0,0,2,-0.7324926
2,1,0,1,0,0,0,4,0,0,0,1,0,0,2,-1.0535726
2,0,0,2,0,0,0,4,0,0,0,2,0,0,1,-0.6872526
0,1,0,2,1,0,0,4,0,0,2,1,0,0,0,-0.2795126
0,0,0,2,2,0,1,3,0,0,1,1,1,0,0,-0.1040526
0,1,1,0,2,0,1,3,0,0,1,0,0,2,0,-0.6591526
2,0,0,1,1,0,1,3,0,0,1,0,0,2,0,-1.0588726
2,0,0,1,1,0,1,3,0,0,1,0,0,0,2,-0.9905226
1,2,0,0,1,0,1,3,0,0,1,0,0,1,1,-1.2218726
1,1,0,1,1,0,1,3,0,0,1,1,0,1,0,-1.0239326
1,0,0,0,3,0,2,2,0,0,2,0,0,1,0,-0.6671226
