Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,E_ads
0,0,3,0,0,1,1,1,0,0,1,0,0,0,0,-0.3880063
0,0,3,0,0,1,0,1,1,0,0,0,1,0,0,-0.3937863
0,0,3,0,0,1,0,0,0,2,0,0,0,0,1,-0.2620363
0,0,3,0,0,0,1,1,1,0,0,0,0,1,0,-0.3175963
1,0,2,0,0,1,2,0,0,0,1,0,0,0,0,-0.3391063
1,0,2,0,0,1,1,1,0,0,0,0,1,0,0,-0.2265363
1,0,2,0,0,1,0,2,0,0,0,0,0,0,1,-0.2410063
0,1,2,0,0,1,0,1,1,0,1,0,0,0,0,-0.1184863
0,1,2,0,0,1,0,0,2,0,0,0,0,1,0,-0.0824363
0,1,2,0,0,0,1,2,0,0,0,0,0,1,0,-0.0852163
0,0,2,1,0,1,1,0,1,0,0,0,0,0,1,-0.0529563
0,0,2,1,0,1,1,0,0,1,0,0,1,0,0,-0.0643163
0,0,2,1,0,0,1,1,1,0,1,0,0,0,0,-0.0499563
0,0,2,0,1,0,2,1,0,0,1,0,0,0,0,-0.0645363
0,0,2,0,1,0,1,0,2,0,0,0,0,0,1,-0.0102263
0,0,2,0,1,0,1,0,0,2,0,0,0,1,0,0.0335537
0,0,2,0,1,0,0,1,1,1,0,1,0,0,0,0.0025237
0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0.0777337
0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0.1132837
0,0,1,1,1,0,3,0,0,0,0,0,0,0,1,0.0015737
0,0,0,3,0,0,2,0,1,0,0,0,0,0,1,0.1289537
0,0,0,3,0,0,1,0,1,1,1,0,0,0,0,0.1660437
0,0,0,3,0,0,0,0,1,2,0,0,1,0,0,0.4406537
0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,0.3323137
1,0,0,2,0,0,1,1,1,0,0,0,0,1,0,0.2883737
1,0,0,2,0,0,1,0,2,0,0,0,1,0,0,0.2103637
1,0,0,2,0,0,0,0,0,3,0,0,0,1,0,0.3937737
0,1,0,2,0,0,2,0,1,0,0,0,1,0,0,0.1604337
0,1,0,2,0,0,1,1,1,0,0,0,0,0,1,0.3544737
0,1,0,2,0,0,1,0,2,0,1,0,0,0,0,0.1465137
