Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,E_ads
0,1,1,2,0,2,1,0,0,1,1,0,1,1,0,-3.100337
1,0,1,2,0,2,2,0,0,0,0,1,0,0,2,-3.218307
0,0,1,2,1,2,2,0,0,0,0,1,1,1,0,-3.082417
0,2,0,2,0,2,1,0,0,1,0,0,1,0,2,-3.217537
0,1,2,1,0,0,0,1,2,1,2,1,0,0,0,-3.069917
1,0,2,1,0,2,1,0,1,0,0,0,0,0,3,-3.143067
0,0,2,1,1,1,2,0,1,0,0,0,0,1,2,-3.103017
0,0,2,1,1,1,2,0,0,1,2,0,0,0,1,-3.145727
0,2,1,1,0,1,0,0,1,2,0,1,1,0,1,-3.574437
0,2,1,1,0,1,0,0,1,2,0,0,1,1,1,-3.533037
0,0,0,0,4,2,1,1,0,0,0,1,1,1,0,-3.083037
0,0,0,0,4,1,2,0,1,0,1,0,1,1,0,-3.095517
0,0,0,0,4,1,1,2,0,0,1,1,0,1,0,-3.053997
0,0,0,0,4,1,1,0,2,0,1,1,1,0,0,-3.049167
0,0,0,0,4,2,1,1,0,0,0,1,0,2,0,-3.091087
0,0,0,0,4,2,1,0,1,0,0,1,2,0,0,-3.075557
1,0,0,0,3,1,1,1,1,0,0,0,1,2,0,-3.067727
1,0,0,0,3,0,2,2,0,0,0,1,0,2,0,-3.072907
0,1,0,0,3,0,0,1,3,0,1,1,1,0,0,-3.028757
0,1,0,0,3,0,0,2,2,0,1,1,1,0,0,-3.041037
0,0,1,0,3,2,1,0,1,0,1,0,1,1,0,-3.063847
0,0,0,1,3,0,1,2,1,0,1,1,1,0,0,-3.034077
2,0,0,0,2,0,2,0,2,0,0,0,2,1,0,-3.078097
1,1,0,0,2,1,1,1,1,0,0,0,2,1,0,-3.070317
0,1,1,0,2,1,0,0,3,0,1,1,1,0,0,-3.035977
0,0,2,0,2,0,2,0,2,0,2,0,0,1,0,-3.044467
0,0,2,0,2,0,1,0,3,0,2,1,0,0,0,-3.032847
